compound_name,SMILES,DTXSID,pmids,n_articles
Famotidine,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,DTXSID5023039,"['36231768', '34686215', '34535565', '33906888', '33394214', '32597315', '32353682', '32013143', '31563592', '31483518', '31262903', '30310171', '30117350', '30019186', '29360138', '28834579', '28776226', '28443380', '26478311', '26176290', '26077661', '25476894', '25253561', '24663504', '24619016', '24267478', '24251758', '24019126', '23857299', '22854201', '22731929', '22149579', '22002635', '21698408', '21602607', '21348776', '20969958', '20663999', '20423231', '19857049', '19797865', '19793005', '19497431', '19409039', '19362101', '19243244', '18999936', '18381229', '18303133', '18298334', '17698507', '17603938', '17257076', '17198667', '17105423', '17105418', '16252198', '15778577', '15778574', '15749258', '15665626', '15665623', '15285881', '12972081', '12924104', '12807305', '12636039', '12587127', '12557707', '11827362', '11166003', '10674922', '10491725', '10462360', '10379473', '10321752', '9821410', '9696412', '9690716', '9239453', '9118586', '8842698', '8699634', '8555043', '7576828', '7552580', '7888583', '7781143', '8004885', '7915153', '8314361', '8122029', '8104773', '8103763', '8095732', '1360658', '1712757', '1745480', '1679671', '2131953']",100
D-Glucitol,OCC(O)C(O)C(O)C(O)CO,DTXSID5023588,"['36249994', '36214438', '36111314', '36082077', '36030954', '35526574', '35507584', '35388067', '35255096', '35227738', '35164792', '34931497', '34921520', '34889188', '34555016', '34454364', '34410437', '34378050', '33952720', '33933676', '35696228', '33341050', '33339401', '33253864', '33161342', '33065224', '33048207', '32932175', '32692811', '32562606', '32488835', '32361978', '32086945', '32067521', '31922289', '31848140', '31817562', '31805052', '31802170', '31796757', '31793023', '31634799', '31485625', '31465783', '31382802', '31365669', '31300057', '31290223', '31231834', '31174688', '31173751', '31039622', '30982214', '30951865', '30942258', '30942117', '30938841', '30898544', '30874333', '30858113', '30831148', '30818176', '30804470', '30801783', '30797887', '30687454', '30681239', '30668380', '30599190', '30508486', '30517530', '30276674', '30231161', '30156263', '30053341', '29966937', '29956331', '29941649', '29866873', '29737953', '29655100', '29536826', '29448040', '29441901', '29378537', '29357190', '29328042', '29315975', '29292188', '29236929', '29230580', '29223181', '29215329', '29016328', '28956156', '28954068', '28926630', '28918527', '28867228', '28821765']",100
Doxylamine succinate,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,DTXSID7020552,"['25884778', '25663469', '24123059', '23166178', '19923636', '12046971', '11465247', '7786169', '1975634', '2815116', '2916231', '2568024', '3400069', '3356311', '3356310', '3599917', '3951203', '6126486', '1126102', '18906693']",20
Diethylene glycol,OCCOCCO,DTXSID8020462,"['35933263', '35806112', '35461626', '35165002', '35133835', '35091947', '34278906', '34053711', '34022404', '33766526', '33740733', '33475432', '33270110', '32668379', '32336161', '31869647', '31576499', '31436292', '31264145', '31140944', '31001735', '30593287', '29855017', '29723837', '29395181', '29107684', '28976921', '28745842', '28689762', '28603417', '28465071', '28379177', '28085681', '27578413', '27538060', '27002734', '26992548', '26924226', '26551875', '26442911', '26385496', '26342003', '26114345', '25747144', '25545985', '25455886', '25445099', '25187402', '25170933', '25016034', '24732158', '24668490', '24439712', '24269627', '24266434', '24134533', '23992443', '23954968', '23827505', '23616374', '23297782', '22694101', '22458541', '22246572', '22135395', '22076108', '21856646', '21794966', '21543465', '21336790', '21192754', '21062849', '20927618', '20586570', '20407787', '20380801', '20080484', '20010509', '19597445', '19586352', '18940722', '18792827', '18570176', '18458418', '18338311', '18045860', '18024066', '17966119', '17725874', '17660775', '17364870', '17355118', '17293254', '17188439', '15979833', '15902788', '15705490', '15680684', '15233152', '15148981']",100
Cadmium chloride hydrate,O.[Cl-].[Cd],DTXSID1020227,"['35338461', '7683386', '7683385', '7683378', '7683377', '1579065', '6215501']",7
Fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,DTXSID3020627,"['35900099', '35807371', '35793245', '35655452', '35629993', '35452875', '35377226', '35343782', '35298171', '35165126', '35019693', '34995400', '34923544', '34783586', '34767723', '34742014', '34739424', '34735467', '34726812', '34707775', '34658275', '34648192', '34548636', '34528638', '34480517', '34230047', '34129542', '34098045', '34055673', '33984784', '33915930', '33888150', '33882845', '33823842', '33752392', '33638727', '33629778', '33459560', '33383587', '33383164', '33361309', '33356256', '33306677', '33278803', '33258083', '33176551', '32990062', '32912132', '32894212', '32869413', '32763601', '32693117', '32621720', '32587287', '32547022', '32535150', '32522809', '32508205', '32418289', '32400853', '32385711', '32161223', '32061515', '32001137', '31982514', '31962263', '31953533', '31926066', '31907188', '31893943', '31887002', '31870647', '31867293', '31865826', '31856310', '31773153', '31759067', '31748967', '31717311', '31700024', '31689623', '31688884', '31602591', '31550939', '31538908', '31513917', '31513374', '31475367', '31470602', '31437188', '31409990', '31399349', '31358467', '31345462', '31330226', '31286895', '31279296', '31275963', '31229796', '31158751']",100
Voriconazole,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,DTXSID5046485,"['35589006', '35575963', '35488836', '35370398', '35343855', '35099351', '34999435', '34995400', '34982443', '34923544', '34837414', '34818379', '34817413', '34739424', '34658275', '34657372', '34635182', '34328373', '34324678', '34239516', '34129542', '34107241', '34045695', '34016284', '33992954', '33890055', '33837924', '33814360', '33686560', '33590676', '33388013', '33217017', '33084474', '33012653', '33010043', '32772568', '32717240', '32697551', '32689868', '32662568', '32639669', '32535150', '32522809', '32508205', '32452305', '32386273', '32383061', '32277819', '32094096', '32047978', '31982514', '31953533', '31932875', '31926066', '31851857', '31846723', '31768008', '31748967', '31689623', '31607330', '31550939', '31538908', '31513917', '31484176', '31478295', '31411454', '31359851', '31283429', '31178201', '31170106', '30950099', '30879588', '30866996', '30851209', '30848753', '30810429', '30763611', '30760610', '30715804', '30697045', '30653146', '30587873', '30580667', '30481082', '30479172', '30458443', '30456871', '30375950', '30312971', '30306637', '30284178', '30227852', '30044149', '30040225', '30016626', '29998564', '29996736', '29994987', '29950613', '29945531']",100
Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,DTXSID6024888,"['36221359', '36211438', '36155131', '36100310', '36095884', '36089614', '36066376', '36059523', '36001789', '35989458', '35983953', '35979854', '35979049', '35973821', '35932626', '35927061', '35902898', '35902049', '35889325', '35880179', '35871254', '35871234', '35856702', '35838754', '35818275', '35816645', '35810145', '35809794', '35799191', '35794616', '35781894', '35752739', '35752139', '35737873', '35736347', '35732790', '35714906', '35713427', '35710137', '35690221', '35680626', '35658642', '35641554', '35636341', '35623615', '35620802', '35618839', '35606478', '35596774', '35596773', '35594180', '35588050', '35579950', '35568246', '35562182', '35536996', '35534047', '35527285', '35513252', '35511399', '35504331', '35501422', '35499237', '35478137', '35472312', '35471214', '35459802', '35451732', '35442489', '35441463', '35439295', '35435235', '35432352', '35419617', '35403693', '35401565', '35398328', '35387576', '35385034', '35379072', '35373091', '35361865', '35359034', '35355402', '35347107', '35339405', '35323500', '35318203', '35314996', '35299076', '35288820', '35283391', '35277938', '35251033', '35241369', '35230585', '35218068', '35216831', '35210509', '35197512']",100
Ochratoxin A,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl,DTXSID7021073,"['36136561', '36116528', '36106920', '36096441', '36058351', '36007852', '36006214', '35987497', '35932296', '35850255', '35843423', '35739783', '35649676', '35622578', '35605710', '35576029', '35543154', '35452686', '35447289', '35441239', '35202168', '35202136', '35181402', '35051019', '35033712', '35028912', '34941686', '34933055', '34921099', '34906652', '34857860', '34834020', '34826919', '34822586', '34822578', '34822571', '34822529', '34783556', '34774926', '34769489', '34751137', '34748852', '34734338', '34681895', '34681610', '34678966', '34642959', '34621467', '34481902', '34437458', '34437408', '34437401', '34375657', '34372751', '34357950', '34357949', '34348544', '34207874', '34202720', '34153309', '34126166', '34116085', '34101318', '34071776', '34064925', '34015425', '34003344', '33992990', '33965433', '33961929', '33961848', '33951485', '33924868', '33923097', '33918675', '33819549', '33808971', '33808613', '33803529', '33800744', '33774787', '33773380', '33722575', '33672088', '33652839', '33641962', '33583259', '33582472', '33567683', '33543323', '33535685', '33505592', '33465424', '33450876', '33422602', '33322380', '33307117', '33271262', '33241365', '33197547']",100
Alpha solanine,C[C@H]1CC[C@@H]2[C@H]([C@H]3[C@@H](N2C1)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C,DTXSID9030707,"['34655286', '34453743', '33477438', '33099112', '33076076', '31260867', '26931732', '26313911', '25438245', '25116803', '24697731', '24051269', '22329893', '20930376', '19286450', '18614268', '17973450', '17153152', '17090106', '15649828', '12453729', '10888570', '8921346', '8655092', '7896228', '8430437', '1894219', '2404325', '6515563', '504549']",30
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,DTXSID4022731,"['36232629', '36199180', '36126737', '35994180', '35988339', '35971705', '35907300', '35902928', '35895276', '35876180', '35863977', '35786680', '35744955', '35701367', '35633140', '35599240', '35597399', '35568130', '35527473', '35523739', '35457694', '35427849', '35398614', '35351567', '35331064', '35325436', '35292610', '35257991', '35241634', '35187767', '35183703', '35170024', '35165193', '35119606', '35101289', '34990119', '34953957', '34922908', '34897348', '34884510', '34798461', '34785318', '34671997', '34652459', '34628237', '34625953', '34622546', '34607130', '34529856', '34522420', '34450549', '34424785', '34396386', '34366094', '34350628', '34333065', '34322888', '34310255', '34296824', '34274893', '34254497', '34206423', '34175889', '34153897', '34153177', '34134060', '34126908', '34107241', '34080983', '34074008', '34073930', '34021701', '34021354', '33992932', '33966183', '33912179', '33910375', '33908133', '33855323', '33848012', '33834541', '33824430', '33818825', '33814360', '33802957', '33798941', '33740697', '33727341', '33647738', '33618992', '33608873', '33590911', '33524447', '33504758', '33452820', '33435852', '33393825', '35261014', '33359871', '33356553']",100
Methotrexate hydrate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O.O,DTXSID70217789,"['36217648', '36153909', '36095884', '36088292', '36068476', '36054575', '35985163', '35979854', '35976016', '35973821', '35929573', '35922754', '35907463', '35902049', '35898689', '35887018', '35878871', '35871815', '35864414', '35849191', '35831345', '35809794', '35787364', '35732790', '35727714', '35708709', '35697166', '35674002', '35671649', '35658235', '35654820', '35648328', '35639227', '35633009', '35628334', '35614161', '35575146', '35525755', '35508896', '35508462', '35496049', '35491706', '35490916', '35489026', '35486323', '35484086', '35467473', '35459802', '35453032', '35443427', '35442489', '35434757', '35426539', '35385884', '35379110', '35369946', '35369115', '35365958', '35357394', '35354251', '35331833', '35306043', '35301407', '35291759', '35286798', '35279271', '35264506', '35263663', '35253996', '35236714', '35226619', '35218177', '35201508', '35200225', '35197512', '35179739', '35157101', '35143824', '35142753', '35142567', '35138194', '35120432', '35115328', '35114374', '35100805', '35093905', '35092376', '35075221', '35060893', '35041883', '35041118', '35037483', '35034880', '35027386', '35027038', '35024183', '35019195', '35018626', '35010995', '34986414']",100
Liarozole dihydrochloride,C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4.Cl.Cl,DTXSID201026639,[],0
Caffeine,Cn1cnc2c1c(=O)n(c(=O)n2C)C,DTXSID0020232,"['36156632', '36145187', '36126737', '36064054', '35971705', '35940281', '35908335', '35881540', '35871944', '35868513', '35690181', '35688186', '35652307', '35649678', '35640313', '35633054', '35624048', '35618149', '35577015', '35575450', '35570253', '35561781', '35550153', '35537649', '35513285', '35507285', '35469867', '35422212', '35394550', '35346730', '35338582', '35283111', '35259391', '35247685', '35218782', '35216090', '35212556', '35171455', '35165193', '35122651', '35075221', '35066201', '35032569', '34946741', '34927622', '34922795', '34893088', '34879813', '34862418', '34847460', '34775239', '34773559', '34752924', '34730624', '34728189', '34611208', '34607130', '34592760', '34558088', '34548010', '34543702', '34524687', '34509583', '34454690', '34433525', '34411733', '34358890', '34352333', '34338762', '34324416', '34300068', '34291426', '34290376', '34107215', '34104310', '34096417', '34080518', '34080490', '34053704', '34024173', '34004240', '33998560', '33984702', '33971260', '33932520', '33920365', '33905778', '33890704', '33884855', '33855722', '33849480', '33837202', '33799249', '33751729', '33736354', '33730295', '33688777', '33677609', '33666618', '33648701']",100
L-Ethionine,CCSCC[C@@H](C(=O)O)N,DTXSID0020579,"['10514036', '9570496', '8486526', '3576621', '3589149', '3107916', '3773929', '2864753', '6433187', '6429016', '6825206', '6185830']",12
Entinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,DTXSID0041068,"['36052071', '35552447', '35115114', '35008795', '34819039', '34753060', '34453044', '34427023', '34392069', '34258881', '34196874', '33923831', '33438318', '33246465', '33203644', '32950498', '32635356', '32217144', '32087304', '32030401', '31932908', '31161423', '31097774', '31046743', '31025088', '30865688', '30668714', '30571927', '30111752', '29302039', '29135083', '28939740', '28340413', '28186961', '27807597', '27792246', '27761834', '27761816', '27761809', '27633343', '27619199', '27576506', '27320682', '27319010', '27034410', '26980768', '26577691', '26272509', '26209365', '26208903', '25953446', '25875914', '25782916', '25610877', '25467131', '25371323', '24646280', '24203492', '24189584', '23650416', '23410027', '23286281', '23097134', '22706966', '22613180', '22156471', '22106282', '21815268', '21626783', '21041383', '19956891', '19509172', '18694296', '18626312', '18579665', '18366289', '17882279', '17875771', '17671140', '17517827', '17179232', '16731757', '15851766', '15069698', '15059916', '13679862', '12154036', '10200307']",88
Methoxyacetic acid,COCC(=O)O,DTXSID1031591,"['32172156', '31518935', '30934112', '29421409', '29055888', '28238932', '27914867', '26006246', '26001161', '25089837', '23290947', '21573189', '20688617', '20172022', '20049119', '18486176', '16690802', '16001212', '15705484', '14662790', '12554841', '12502240', '11971754', '10814553', '9473855', '9355941', '9325022', '9299193', '9200845', '8957698', '8619254', '8597107', '7676448', '8588185', '7747273', '7900162', '7974496', '7859828', '7989138', '8059429', '7506379', '8248941', '8365577', '1514188', '1585375', '1526376', '1564430', '1733052', '1778363', '1949018', '1890691', '1761407', '1761404', '1853347', '1653159', '1855627', '2107602', '2357763', '2777722', '2471293', '2763314', '2755424', '2743476', '2722248', '2722247', '3376111', '3131928', '3810650', '3508474', '3271880', '3738932', '3781414', '4035690', '4035689', '6484991', '6499808', '6464038', '6719491', '6836577', '7185613']",80
Benzo[A]Pyrene,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,DTXSID2020139,"['36240258', '36179647', '36149869', '36129345', '36073568', '36068759', '36058316', '36056034', '35954852', '35951250', '35916047', '35909193', '35895920', '35886213', '35886113', '35882344', '35870112', '35771809', '35764155', '35752723', '35749296', '35716561', '35714684', '35696964', '35683027', '35662636', '35592919', '35580669', '35512520', '35473600', '35446561', '35427736', '35419617', '35351456', '35346703', '35332611', '35329296', '35314229', '35297523', '35275405', '35247686', '35206262', '35193440', '35182551', '35162233', '35151814', '35151731', '35151423', '35144130', '35134430', '35124066', '35122647', '35112968', '35077995', '35065163', '35057794', '35001578', '34998820', '34991250', '34986425', '34973566', '34948252', '34942459', '34935079', '34932979', '34929288', '34920278', '34919925', '34916105', '34915923', '34906874', '34883242', '34864101', '34843781', '34835962', '34800719', '34795826', '34767844', '34758433', '34748100', '34734245', '34678320', '34655894', '34638865', '34610339', '34607190', '34592638', '34590702', '34579573', '34553879', '34547448', '34544316', '34528361', '34502101', '34486357', '34454013', '34447391', '34427723', '34413168', '34383983']",100
Methanol,CO,DTXSID2021731,"['36200268', '36199119', '36167233', '36156632', '36149851', '36144622', '36109567', '36102878', '36095884', '36076654', '36058316', '36038090', '36014415', '35998678', '35994914', '35934768', '35852639', '35836155', '35813676', '35796441', '35781588', '35761603', '35755846', '35732680', '35724746', '35716545', '35716476', '35707926', '35703627', '35702839', '35700573', '35699503', '35697919', '35680581', '35667583', '35667152', '35658209', '35655196', '35648062', '35619568', '35607958', '35580669', '35576326', '35490797', '35487926', '35487801', '35478003', '35461626', '35458697', '35452774', '35439867', '35408507', '35392025', '35362678', '35335245', '35298655', '35292610', '35274824', '35270784', '35249198', '35234557', '35218860', '35212523', '35209125', '35191346', '35164026', '35149107', '35080162', '35056804', '35044248', '35043364', '35033943', '35032892', '35017779', '35016063', '35005986', '35000923', '34990791', '34988610', '34981553', '34978586', '34974128', '34972069', '34922285', '34844153', '34817346', '34799336', '34787011', '34769652', '34769276', '34730329', '34728316', '34709587', '34709101', '34698859', '34697779', '34677019', '34649346', '34641627', '34610271']",100
Manganese,[Mn],DTXSID2024169,"['36229432', '36165928', '36159236', '36152156', '36148349', '36142718', '36137967', '36126097', '36115080', '36089154', '36087072', '36078782', '36070649', '36036794', '36012207', '36011873', '35977585', '35952733', '35934145', '35931251', '35917909', '35917237', '35894753', '35886325', '35846739', '35842137', '35817177', '35768965', '35759894', '35751881', '35742868', '35742410', '35739732', '35705128', '35702054', '35691383', '35660593', '35655008', '35653605', '35645400', '35643781', '35638297', '35610122', '35604459', '35597325', '35588614', '35580685', '35537679', '35533713', '35523391', '35502611', '35485407', '35474526', '35467678', '35466670', '35459990', '35456914', '35452221', '35445799', '35429215', '35413651', '35395347', '35390408', '35384749', '35383848', '35365361', '35358213', '35357496', '35335367', '35329330', '35324965', '35303226', '35284914', '35278630', '35226454', '35218779', '35196182', '35189282', '35182597', '35177002', '35148050', '35147082', '35134179', '35131582', '35131322', '35123972', '35104777', '35090019', '35077153', '35072568', '35066624', '35063473', '35063467', '35055805', '35051768', '35043377', '35043288', '35038502', '35031389', '35026665']",100
Benzyl Butyl Phthalate,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,DTXSID3020205,"['35688051', '35633454', '35611408', '35487445', '35167930', '34971587', '34775973', '34697989', '34217092', '34152295', '34125507', '33836808', '33807420', '33691158', '33677105', '33631684', '33462290', '33045484', '32704083', '32615245', '32599721', '32474072', '32308655', '32120090', '31629899', '31390533', '31364916', '31212022', '31089994', '31016752', '30851587', '30673950', '30634153', '30398665', '30383084', '30243731', '30125794', '29864457', '29775422', '29605748', '29255980', '29050483', '29029336', '28934690', '28875446', '28801775', '28506834', '28298639', '28152410', '28089693', '27992464', '27863804', '27825933', '27816435', '27750193', '27690147', '27588698', '27513369', '27129165', '26895396', '26867681', '26644063', '26520405', '26519955', '25493564', '25081364', '25056812', '25016925', '24977926', '24968065', '24848799', '24270398', '24228837', '24228746', '24041567', '23429708', '23243985', '23220035', '22739543', '22732598', '22723514', '22703192', '22138065', '21771643', '21764513', '20954082', '20574658', '20396882', '20183522', '20114058', '19949769', '19933552', '19751787', '19603396', '19483380', '19463926', '19453209', '19423389', '19392672', '19235623']",100
Flusilazole,C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,DTXSID3024235,"['34871708', '34273450', '33032228', '32041405', '30579770', '29733884', '27450236', '25260164', '25243857', '25233012', '23771518', '17187383', '15554355', '11489598']",14
Doxorubicin Hydrochloride,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,DTXSID3030636,"['36250452', '36237438', '36235670', '36234731', '36206297', '36193087', '36187332', '36184788', '36168121', '36167809', '36165017', '36158238', '36156411', '36153589', '36147477', '36142147', '36112403', '36109444', '36106385', '36095884', '36089614', '36087872', '36077085', '36076558', '36065849', '36050733', '36041590', '36028075', '36007348', '36001789', '36001455', '35999549', '35997093', '35994713', '35987478', '35983756', '35983586', '35980105', '35979854', '35979049', '35975321', '35973342', '35963130', '35959282', '35955744', '35942624', '35939328', '35939041', '35931753', '35927061', '35925873', '35921947', '35918370', '35917304', '35915060', '35909282', '35906730', '35902898', '35889500', '35889350', '35889325', '35889305', '35887063', '35886884', '35878314', '35877038', '35871234', '35866378', '35863589', '35861355', '35849306', '35843569', '35839816', '35835135', '35817167', '35810145', '35798094', '35792180', '35790377', '35785552', '35783198', '35779654', '35771546', '35771444', '35761120', '35760233', '35759894', '35752144', '35751881', '35750278', '35748249', '35733417', '35732790', '35729230', '35726778', '35725767', '35715904', '35698847', '35694854', '35693699']",100
Polycyclic aromatic hydrocarbons,C1=CC=C2C(=C1)C=CC3=NC4=C(C=C32)C5=CC=CC=C5C=C4,DTXSID3044043,"['36250452', '36241959', '36240258', '36237438', '36236371', '36235670', '36235592', '36235199', '36235108', '36234772', '36234731', '36232749', '36232578', '36232361', '36232160', '36232034', '36231977', '36231742', '36229831', '36222257', '36221359', '36219086', '36211646', '36210704', '36210569', '36210125', '36206297', '36193087', '36187332', '36184788', '36184515', '36179647', '36176005', '36175588', '36174909', '36168121', '36167809', '36167636', '36165017', '36162822', '36158238', '36156411', '36155770', '36155337', '36153589', '36150442', '36149869', '36147477', '36145217', '36143966', '36143915', '36142868', '36142147', '36129345', '36124878', '36118019', '36112403', '36109444', '36108713', '36108497', '36106707', '36106623', '36106385', '36104909', '36104745', '36103214', '36100150', '36099094', '36098183', '36095884', '36089583', '36089299', '36087872', '36084673', '36084470', '36081290', '36080388', '36079735', '36078713', '36078167', '36077432', '36077085', '36076558', '36075872', '36074113', '36073568', '36068759', '36068213', '36066724', '36066083', '36065849', '36065535', '36062323', '36058937', '36058316', '36057608', '36057379', '36056034', '36055727', '36050733']",100
Fenugreek,C[C@H]1[C@H]2[C@H](C[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)O)O)O)O)C)C)O[C@@]1(CC[C@@H](C)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O,DTXSID30894575,"['35993650', '35566198', '35072544', '35064405', '35041883', '34799857', '34687757', '34675483', '34598289', '34247088', '34217743', '33760394', '33450288', '33310081', '33164294', '33143632', '32950525', '32781063', '32067993', '31793087', '31532273', '31273422', '31062603', '30858113', '30719662', '30670366', '30520268', '29948987', '29749534', '29633105', '29518003', '29330279', '29094243', '29028495', '28993009', '28816550', '28610933', '28391170', '28269780', '27498339', '27496582', '26682379', '26235393', '26138328', '25428277', '25176368', '25045923', '23429594', '23216637', '23104728', '23053765', '22773079', '22680628', '23631259', '21822953', '21654091', '21629786', '21608438', '22754936', '20716916', '20641053', '20147568', '20100065', '19778255', '19384950', '20448850', '18928139', '17324542', '17182483', '16622606', '16574673', '16289562', '16184010', '16180085', '15936223', '15886458', '15350674', '15026271', '12916070', '12841630', '12192964', '10641146', '10206008', '9683340', '9421250', '2089260', '2671745', '6578721', '4280278']",89
Ricolinostat,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=NC=C(C=N3)C(=O)NCCCCCCC(=O)NO,DTXSID40157148,"['34582215', '33458921', '32615502', '31634464', '31070945', '30694564', '30270813', '29483217', '28053023', '27646843', '25458911']",11
Di-2-ethylhexylphthalate,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,DTXSID5020607,"['36174316', '36113640', '36104915', '36073224', '36068761', '36058272', '36044193', '36037918', '36006862', '35952901', '35952743', '35940417', '35921887', '35917506', '35905844', '35901955', '35892601', '35887207', '35868369', '35858124', '35855679', '35853363', '35842051', '35841924', '35817099', '35810861', '35810816', '35797467', '35790550', '35730944', '35716812', '35716406', '35709832', '35697219', '35691715', '35688051', '35671893', '35671892', '35633454', '35624195', '35611408', '35567983', '35550907', '35534976', '35521929', '35504341', '35500696', '35460826', '35447293', '35409294', '35390230', '35362893', '35354077', '35348563', '35321620', '35317910', '35301995', '35278545', '35270433', '35263089', '35183033', '35182638', '35162390', '35113371', '35112247', '35095770', '35066077', '35039885', '35033518', '35023180', '34991270', '34863772', '34843800', '34822940', '34801790', '34801639', '34781058', '34739923', '34718101', '34685682', '34678253', '34677768', '34673871', '34670089', '34608470', '34534558', '34520948', '34444624', '34438493', '34426190', '34418532', '34380243', '34357967', '34314979', '34311089', '34303773', '34259148', '34256300', '34229382', '34229364']",100
Cycloleucine,C1CCC(C1)(C(=O)O)N,DTXSID5024475,"['28759161', '21741251', '19048023', '16933307', '16121691', '14602869', '10320696', '9886669', '9701346', '7486609', '7838307', '7525181', '7689986', '8445978', '1331388', '1397046', '1321236', '1352982', '1628209', '1383003', '1319344', '1881593', '1949046', '2187335', '2621158', '3409208', '2445346', '6857703', '7013976', '6256679', '606748', '1275953', '4727787', '13974316']",34
Accetonanil,CC1=CC(NC2=CC=CC=C12)(C)C,DTXSID5025071,[],0
Fumonisin B1,CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)C[C@@H](CCCC[C@H](C[C@@H]([C@H](C)N)O)O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O,DTXSID6020644,"['36179646', '36006180', '35805950', '35649676', '35605710', '35448888', '35441239', '35324667', '35202163', '35143865', '35050998', '34932144', '34915026', '34769283', '34740561', '34647484', '34621467', '34564616', '34500671', '34343521', '34303040', '34274647', '34112398', '34111490', '34086936', '34071776', '34062223', '34000555', '33992990', '33961929', '33923097', '33861173', '33605189', '33548371', '33496827', '33450876', '33406676', '33338448', '33271262', '33197547', '33166220', '33036310', '33007920', '32824643', '32717212', '32693007', '32667064', '32621837', '32504355', '32376361', '32235423', '32224216', '32197491', '32155496', '32004578', '31963346', '31891755', '31842816', '31817520', '31791183', '31766649', '31565147', '31382109', '31226428', '31173793', '31048407', '30965105', '30821509', '30781891', '30694057', '30448865', '30346146', '30265183', '30253246', '30248478', '30200531', '30028638', '29939355', '29914090', '29625687', '29587235', '29544138', '29510220', '29496528', '29319361', '29288091', '29233736', '29097114', '29027485', '28935499', '28914788', '28822000', '28636450', '28599879', '28512016', '28181396', '28170235', '27888487', '27746327', '27757495']",100
Venlafaxine,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,DTXSID6023737,"['35819590', '35165231', '35151971', '35132786', '35057765', '34810289', '34626640', '34569808', '34290055', '34252190', '34206423', '34198731', '33875464', '33871300', '33733493', '33589590', '33551091', '33504611', '33475436', '33470005', '33361064', '33337586', '33278816', '33155441', '33129048', '33086601', '33017639', '32974907', '32877707', '32856054', '32604453', '32365274', '32259826', '32238008', '32115632', '32064503', '31967492', '31954757', '31849264', '31794166', '31706926', '31688392', '31425490', '31357342', '31310467', '31290339', '31247926', '31227807', '31094902', '31009827', '30973750', '30968172', '30945416', '30928406', '30923938', '30826707', '30796754', '30639403', '30578887', '30365028', '30212953', '30112729', '30102628', '30028351', '30025480', '30008467', '29964362', '29938898', '29923970', '29762694', '29710476', '29702137', '29679653', '29621962', '29579279', '29570971', '29453978', '29417943', '29332813', '29331713', '29327975', '29239218', '29237389', '29170178', '29156365', '29134498', '29115994', '29100959', '28965935', '28866861', '28707591', '28627776', '28547577', '28456144', '28397349', '28263537', '28202359', '28118722', '27976562', '27940505']",100
